,places,collected_reviews,Number of positive reviews,Number of negative reviews,Total number of reviews,Rating
0,Глэмпинг Доброе,"['плюс очень красивый заповедный зона просыпаться вид море засыпать волна пожалуй самый необычный отпуск вроде жить палатка минимальный набор необходимый комфортный пребывание идеальный вариант мечтать сходить поход палатка перспектива ходить туалет ёлка точно очень расслаблять помогать отдохнуть городской суета ярко минус готовый глэмпинг тяжело добраться неподготовленный человек добраться два способ пешком моторный лодка лодка стоить поездка конец сам глэмпинг причал деревянный помост поэтому лодка прийтись прыгать вода забираться лодка вода', 'ездить глэмпинг добрый компания конец апрель поскольку апрель действительно выдаться холодный делать больший скидка этот место откинуть наш погодный невезение сильно разочаровать соотношение', 'плюс красивый заповедный зона потрясать закат вкусный мидия блинчик завтрак очень приятный вежливый молодой человек который собственно приносить завтрак минус везде грязненький очень бросаться глаз жутко неудобный скрипучий кровать который спина болеть неделя душа намёк хотя тёплый вода просто тонкий струйка холодный вода -кинотеатр открытый работать целое хорошо провести время нюанс заселение пройти гладко отказать просьба заселить высокий шатёр свободный момент наш приезд анастасия сказать забронировать завтрашний уточнить забронировать например приехать следующий ответить', 'красиво дикий природа идеальный комфорт артур готовить вкусный мидия номер иметься необходимый вполне удобно маленький ребёнок потрясать очень понравиться обязательно приехать снова', 'отлично газ делать электро печь поставить экономичный балон газ кофема хватать пара день готовить семья общий кухня очередь стоять замечательный уединённый отдых']",5,0,5,5
11,Zelenaya Tropa,"['итак платить рубль ночь доплачивать три килограммовый собака получать домик который кишеть муравей буквальный смысл повсюду кровать кухня стакан который нужно поставить холодильник хотеть оставить муравей стена чистый чайник ванной…везда спать просто чувствовать шевелиться вокруг ванная который стоить вода просто хлюпать выливаться щель наступить постоянно мокрый нога носка полотенце заезд включить электрический тёплый…видимо гость коротнуть клещ который снять свой обработать собаки…предупреждать такой впервые минус', 'явно точно понимать соответствие цена качество опытный путешественник число формат глэмпинг впервые столкнуться большой дифференциация достаться дача самый некачественный недоделать старый совершенно соответствовать тот изначально фото видно организация глэмпинг заниматься женщина гель душа ушной палочка подушка стразик продумать достроить менять бельё домик завести зубной щётка тапка тропинка домик убрать строительный материал какашка деревянный тропинка додуматься ночь дача обойтись тысяча отдельный доплата завтрак внимание цена пятизвёздочный отель центр москва ночь завтрак', 'отличный глэмпинг множество вариант размещение выбрать домик дерево удобство кухня терраса отличный домик хорошо обустроить оснастить необходимый минимум хороший техника косметика домик гель душа кондиционер авторский разработка эфирный масло прочий полезность понравиться мятный мыло почему общий рукомойник общий место приём пища вечерний посиделки костёр хорошо продумать питание понравиться домашний кухня продукт местный ферма разный настольный игра ребёнок взрослый важный момент глэмпинг friendly встретить многий любитель собака общий радость потомец рассматривать повторный посещение', 'добрый день лагер один ночёвка привести наш компания восторг время мало погода дождливый коллектив занятие маткласс сделать свой дело окунуться природа математика ребёнок хотеть продолжать продолжать надеяться минимум неделя путешествие маткласс угодный спасибо профессионализм гибкий подход', 'завершать пребывание какой-нибудь отель стараться сформировать свой комплексный впечатление место цель понять стоить сюда возвращаться мнение зелёный тропа сформировать основание несколько фактор номер малюсенький домик который сложно разойтись человек внутренний эргономика совершенно непродуманный гель шампунь плохо спускать вода матрас подушка одеяло сам низкий качество который удобно спать окно дуть обогреватель дребезжать ночью очень мешать приём пища доступно несколько вид блюдо практически несъедобный продукт использоваться некачественный возможный ощущение тошнота ощущение съесть ведро щебень также хотеть отметить']",4,1,5,5
19,Папоротник,"['решить отдохнуть карелия выбрать думать отдохнуть получиться весь наоборот подъезд кемпингу-целый квест бездорожье снег убирать подъезд минус дорога плюс смотреть сказка попадать вид нереальный приехать понимаешь-освещение ноль кроме твой встретить ребята проводить сказать достроить ожидание хороший войти понимать ахтунг домик построить сдавать пол окно доделать панорамный стоить один кровать подобие камин пахнуть газ подобие стол оставлять желать хороший ванная комната отдельный пост стоить биотуалет умывальник ссср деревня', 'компания человек забронировать домик новогодний праздник протяжение декабрь переписываться руководство псевдоглемпинг спрашивать готовый быть домик наш прибытие день уточнить сергей управлять контора быть готовый домик наш прибытие подтвердить готовый мочь приезжать также являться основатель постоянный развод деньга факт приехать увидеть несколько недостроенный дом который явно готовый проживание туалет водопроводный вода вообще никакой домик соответствовать описание фотография который скидывать группа какой либо преложения возврат деньга сергей сначала брать трубка категорически отказать возврат причём', 'отдать ночь лишний тысяча получить факт ... дать подумать .. букинг слово отсутствие электричество лишь тонкий намёк розетка соответственно холодильник привезти шашлык йогурт давать хотеть свет несчастный', 'испанский стыд отдых больший развод сфера туризм пока встречать надеяться встреча сразу сказать привереда сам заниматься горный туризм останавливаться палатка свет удобство интернет прочее плохой дорога ездить страшно рубль ночь цена качество соотвествовать диаметрально противоположный накануне останавливаться турбаза идеальный подьезд отличный удобство полноценный кухня чистый комната заплатить показаться дорого знать папоротник-4500 показаться задаром довести брать деньга спасибо сказать неуютный окно шалаш обветшалый дырка видать вид', 'ставить палатка бог забытый место который невозможно добраться легковой автомобиль повредить самый автомобиль экономить электричество палатка администрация значит розетка холодильник горячий вода писать красивый описание сайт который соответствовать действительность называть глэмпинг вуаля глупый турист безысходность лето заграница закрытый российский место размещение очень хватать платить сутки естественно вперёд ты нравиться хотеть уехать ранний твой проблема деньга ты никто вернуть претензия твой субъективный мнение который хозяин интересовать ведь-свой']",4,1,5,5
18,Айвенго,"['выбрать отдых алтай альтернатива поездка море турция момент понять хотеть тишина покой никакой эксклюзив заменить единение природа шатёр имя номер очень понравиться находиться уединение далёкий среди река год собираться алтай катунь манить приехать друг сразу быть бронировать шатёр первый линия', 'любитель отель включить » предсказуемость комфорт отель звезда сюда приключение возможный выход зона комфорт гроза отключить электроенергия кухня работать горячий вода связь скролить лента инстаграмм возможность хотеться близость природа отличный кухня дать цивилизация мастер класс попасть ризотто очень вкусно головокружительный пейзаж посиделки костёр глинтвейн гитара разговор прогулка гора лиса собака который жить айвенго прочь составить компания встретить табун лошадь забежать миноточка подъесть вкусный трава корова огромный качели который захватывать пляж песок', 'прожить потрясать место решить очень повезти наслать случайно дата забронировать отель построить план увидеть палатка берег река долго думать изменить наш план правый лагерь находиться берег река достаточно шумный любить спать тишина взять палатка линия сам дело отель хороший любой палатка просто потрясать очень хороший территория качели ребёнок кататься песочница игрушка зона мангал деревянный дорожка весь палатка обязательно порадовать множество резвиться суслик видеть территория отель весь отпуск', 'бронировать шатёр линия букинг адекватный взгляд цена 5400/сутки территория очень понравиться шатёр выглядеть здорово деревянный дорожка удобный территория пляж качели костровый зона бесплатный дрова находиться очень приятно хотеться вернуться сотрудник очень доброжелательный приветливый время приезд внимание оставить сразу встретить заселить ранний географически глэмпинг очень удобно расположить живописный район недалеко жуткий чемаленький база кафешка магазин прочий инфраструктура расположить друг друг минус -терраса кафе доработать сделать презентабельный уютный наверное впереди -внутри шатёр хватать стул видеть другой', 'очень понравиться глэмпинг удаться забыть офис суета расслабляться вид шум катунь уютный минимализм шатёр вкусный лёгкий общение спасибо душевность живописность большой желание вернуться']",4,1,5,5
17,Дальний кордон,"['турбаза находиться недалеко москва примерно минский шоссе второстепенный дорога слегка убитый грейдер территория общий сложность примерно домик снимать шатёр помост глэмпинг ночь каждый свой помост вход река мангал достаточный расстояние чувствовать уединение турбаза дружелюбный питомец заплатить небольшой сумма смочь взять себя собака река чистый вид вокруг замечательный очень гостеприимный отзывчивый готовый помочь однозначно рекомендовать', 'провести выходной конец сентябрь база несколько семья отметить семейный праздник тихий спокойный территория уходить детский площадка каждый домик мангал уличный мебель очень удобно пожарить мясо природа домик тёплый чистенький укомплектовать весь необходимый единственный вода санузел специфический запах рекомендовать питьевой вода брать себя достать первый ночь муха который осень слетаться тепло ночью оставить свет туалет дружный толпа улетать туда конец сезон поэтому некоторый трудность кафе нужно заранее договариваться обговаривать меню спасибо сергей вкусный обед завтрак столь стеснённый обстоятельство', 'увидеть территория база глэмпинг несомненно внимание остаться сразу сказать минус единственный съехать основной трасса около прийтись потрястись грунтовый дорога место разбитый факт огорчить предвкушение отдых глэмпинге. глэмпинг полностью мебелировать подвести электричество полноценный спальный место холодильник чайник посуда частично умывальник подогрев веранда располагаться стол стул гамак бояться промокнуть замёрзнуть бояться проверить себе-первый выполнить безупречно прочный материал испытать гром сильный ветер ливень находиться внутри выдержал-второй']",3,0,3,5
16,База отдыха Салокюля,"['отдыхать чудесный местечко неделя сентябрь семья маленький ребёнок долго подбирать подходящий вариант прогадать хутор салокюля находиться очень живописный место ладожский шхера наш мужчина заниматься рыбалка брать аренда лодка дразнить потрясать фото видио остров нерпа заснять рыбка кстати поймать арендовать котелок сварить ребёнок очень понравиться минизоопарк гусь енот кролик курочка приходить прямо домик правда оказаться деревенский аутентичный хуторок банька чан озеро -вообще отельный сказка улица дождик ребёнок сидеть тёплый чан наслаждаться окружающий природный красота мужчина наш нырять банька озеро настоящий', 'уютный деревянный домик живописный природа свежий воздух идеальный место рыбалка прогулка лодочка очень понравиться банька вода летний время хотеть посетить зимой', 'хотеть выразить благодарность приятный отдых ваш база стоить возвращаться рекомендовать друг спасибо тишина отлично отдохнуть обязательно приехать', 'отличный аутентичный ребёночек очень понравиться бабушка побывать чисто опрятно видно база прокачка деньга очень тёплый душевный весь рекомендовать пожалеть', 'очень понравиться чистенько опрятно первый надеяться последний база новенький несколько назад енотик подрасти кролик супер очень любим весь советовать']",4,1,5,5
1,Глэмпинг на озере Сиг,"['отдыхать один два ребёнок очень повезти погода сосед ребёнок скучать старший кататься саба младший соседский ребёнок кошка который очень сходить баня покататься велик сходить гриб покататься ложка отдохнуть городской суета насмотреться закат кормить вкусно младший оценить', 'отдыхать жена начало август впечатление неоднозначный плюс минус сожаление минус писать исходить свой опыт ребёнок отдыхать россия европа глэмпинг впервые прелесть отдых природа бояться плюс жить палатка палатка продумать необходимый кроме соль сахар мебель хороший состояние привет икеа маленький холодильник посуда умывальник диван кровать простыня подогрев захотеть такой вентилятор газовый плитка общий время поймать мысль номер хватать туалет отдельный помещение относительно близко палатка каждый палатка свой кабинка/комнатка запираться ключ внутри аккуратно', 'необычно очень оригинально придумать прям берег озеро свой подход вода рядом палатка мангал дрова свет улица столик стул палатка необходимый уютный кровать удобный диван куча всякий подушечка интеграция природа комфорт', 'муж глэмпинг август 2019г проехать 950км место наш мечта впервые глэмпинг столкнуться июль утриша незабываемый блаженство решить обязательно посетить глэмпинг озеро утро август позвонить администратор григорий уточнить время наш прибытие ехать далёкий планировать приехать ранний час начинать час вечер григорий время держать мы связь заблудиться естественно несмотря приехать одиннадцатый час вечер григорий встретить рассказать показать расположить отдых принести положительный эмоция вспоминать единение природа палатка необходимый жизнь плитка газовый баллон', 'очень сильно повезти бронь сайт место сотрудница найти свободный сафари-тент трое изначально фото который прислать пометка быть жить домик необходимый приезд поселить сафари-тент терраса стол одиноко стоять стул хотя тент трое приехать втроём повторный просьба молодой человек принести-таки стол третий стул найтись номер грязно природа плата газовый баллон плита уголь вечером стать ужасно холодно второй обогреватель предоставить предлог выдержать электросеть правда фонарик тускнеть каждый включать розетка простой говорить']",3,2,5,5
22,Майтри Кэмп на Финском Заливе,"['очень красивый живописный финский залив великолепный отдых берег понравиться такой tree camp платить ночь обойтись рубль стоить бочка час администратор предупреждать остывать быстро замёрзнуть нужно бронировать сауна сауна купель забронировать сауна стоить рубль час делить стоимость вопрос ладный бронировать приезжать надежда великолепный отдых заселение радость предупреждать свет вода интернет работать исправление дать проблема несколько час заработать предлагать ознакомиться правило обобщить получиться следующий нести', 'понравиться передать природа просто восторг домик купол очень уютный тёплый тёплый прийтись уменьшить стать жарко обстановка ничуть плохой финский коттедж интернет всякий случай общение хватать дорога шоссе очень гнать нормально написать оторвать бампер представлять ехать гружёный взрослый собака продукт доехать отлично пежо общий хотеть сказать огромный спасибо обязательно приехать', 'попасть шатровый отель совершенно случайно проезд поиск место отдых ночлег пожалеть менее сутки отдых получить заряд положительный эмоция энергия отдыхать неделя вокруг чистый природа черника брусника гриб рядом пустынный пляж море шатёр дерево подвесить кресло гамак удобный столовая который кормить вкусный завтрак предлагать выбор несколько блюдо кофе просто кипяток ограничение', 'отдыхать семья приехать москва дочка очень хотеть поехать подобный кемпинг плюс очень красивый территория черника гриб великолепный финский залив отличный баня купель оценить хороший палатка один двуспальный кровать односпальный печка топить обогреватель работать отлично нагревать палатка очень быстро мангал шезлонг каждый палатка хороший завтрак каша яичница обычная/скрембла налить попросить отдельный плата приготовить обед обращаться минус маленький холодильник гость явно хватать сотрудница лагерь увидеть наш глубокий расстройство стейк мочь впихнуть предложить положить свой холодильник остальной продукт потащить', 'какой внимание мелкий деталь устроить мочь писать долго закрытие граница путешествовать примерно трижды месяц наш страна забегать вперёд хотеть сказать следующий отель наш маршрут лес глемпинг дачный отель суровый отечественный люкс резорт покорить белые тент финский залив ностальгия дюна калифорнийский побережье впрямь редкий случай владелец дело круто ты один слово любовь первый взгляд шатёр первый береговой линия душ туалет тент удобство общий гигиенический блок пара шаг общий холодильник зона завтрак кстати']",4,1,5,5
13,Скала,"['проживать домик вид море ощутить полный идиллия спокойствие понять территория -хотеть удивительно вторник среда март это связать хороший отдохнуть суета пожарить мясо провести время семья гулять любоваться море незначительный минуться территория работать ресторан предупреждать бронирование подготовиться ...', 'отдыхать парень начало сентябрь один самый бюджетный размещение тент лес бюджетный сложно назвать очень хотеться попробовать новый отдых глэмпинг тэнт далеко красивый фотография сырость послать тёмный пятно характерный запах коврик одеяло конец сезон первый свежесть матрас удобный светильник обогреватель работать пляж ужасный покупаться особо получиться пройти минута побережье судно симпатичный пляж галька небольшой народ моститься друг друг туалет сделать самый дешёвый материал целое чисто море город отель правда потрясать территория чистый вежливый казаться', 'часто приезжать кабардинка покупаться море новороссийск появиться модный глемпинг скала несколько сезон туда приезжать привозить свой гость приехать год пляж ужасный огромный камень вода водоросль отсутствие тень пляж купаться приезжать покушать кафе полюбоваться море попасть территория остановить охранник который грубый форма объяснить приехать кафе туда нечего территория ходить превращаться охранник главный начальник плюс глемпинг море минус отсутствие бесплатный парковка ужасный пляж ужасный море год ужасный сервис книга отзыв предложение найти поэтому', 'выбрать вариант размещение попробовать формат глэмпинг отдыхать семья начало июнь местоположение глэмпинг великолепный вдали шумный улица перегрузить пляж центральный улица кабардинка выбор шатёр-сафари ошибиться шатёр-сафари самый хороший представить шатёр открываться живописный море закат обстановка шатёр постельный бельё хорошо минус именно отсутствовать wifi везде кроме ресепшн шатёр давать полотенце неожиданный учитывать ценник аренда элементарный набор посуда столовый прибор наш просьба принести полотенце мочь сказать скала очень дружелюбный отзывчивый нерасторопный касаться территория', 'спонтанный поездка случайно наслать глемпинг решить попробовать необычный способ размещение – кемпер ранний такой опыт будущее хотеть приобрести кемпер поэтому своеобразный тест-драйв остаться положительный эмоция двое думать комфорт разместиться человек необходимый условие проживание весьма уютный чисто самый главное – прям море запомниться территория больший чистый вежливый заселить быстро подробно рассказать целое дать дополнительный информация сам посёлок минус погода претензия планировать вернуться разгар сезон']",5,0,5,5
12,Мамонт Camp,"['потрясать единение комфорт уют невероятно вкусный авторский подача природа возможность проснуться река единый посторонний звук вид горный алтай команда организатор потрясти свой идея забота каждый один наш просьба самый незначительный остаться внимание ребята запас начинать оборудование треккинг заканчивать ваш любимый вино ребята хороший обязательно вернуться', 'полный восторг место программа человек отдых детство кормить заботиться твой комфорт активность продумать идеальный нагрузка ехать отдыхать совершать туристический подвиг лагерь берег река просыпаться шатёр панорамный вид слышать природа каждый секунда запах туман река цвет чувствоваться природный самобытность сочетаться ресторанный сервис горячий вода подогревать простыня баня кедровый купель однажды костёр видеть лисица ясный небо гарантировать заставить млечный путь хороший опыт знакомство алтай команда mamont camp жаль погрузиться глэмпинг год', 'волшебный продумать мелочь внимание деталь поражать очень комфортный стильный шатёр душа горячий вода потрясать кухня красивый жаркий баня самый главное команда администрация официант очень внимательный предать свой дело профессионал обязательно вернуться снова']",3,0,3,5
24,Трувор Глэмпинг Валдай,"['атмосферный уютный очень душевный уединение стильный домик прямо берег озеро сочетание свежий воздух чистый лес делать отдых незабываемый семья сложиться идеальный выходной отдельно спасибо хозяин чистый очень удобно эстетично вернуться однозначно', 'отмечать свой очень понравиться интерьер укомплектованность дом весь необходимый отдельный благодарность администратор алексей который учесть наш пожелание прекрасный озеро плюс воздух валдайский']",2,0,2,5
