,places,collected_reviews,Number of positive reviews,Number of negative reviews,Total number of reviews,Rating
21,Кемпинг Лес и Море,"['отдыхать ночь малыш собака джек рассесть терьер понравиться весь исключение ребёнок спасть сосновый лес собака набегаться накупаться свобода фантастический фирменный каша мятый завтрак фаворит развлечение борд каяк настолочь разнообразный небольшой библиотека вечерний кинотеатр костёр барбекю маршмелоу уютный комфортно эстетично очень понравиться обязательно приехать', 'провести волшебный начало август который вспоминать огромный теплота любовь поездка катер остров отдельный путешествие посмотреть затопить колокольня полюбоваться вид волга палатка супер комфортный выспаться выспаться город каждый палатка стоить биотуалет остров душевая кабина сложно поверить такой вообще возможно остров ягода гриб борд байдарка игровой зона прекрасный кухня вечерний костёр кино ребёнок мультик дружелюбный очень стараться', 'начало август очень понравиться первый взгляд вроде просто деталь .. решить вернуться конец месяц погода повезти практически дождь короткий промежуток такой погода целое помешать давать особый очарование остров осенний атмосфера дождик убаюкивать спать палатка воздух влажный тепловатый лесной умыть природа гриб сап байдарка прекрасный кухня вечерний костёр дружелюбный очень стараться очень понравиться мастер-класс изготовление свеча памятный душевно хотеться возвращаться спасибо перезагрузка', 'тысяча жить палатка окно запах плесень туалет улица общий душ метр палатка слишком туалет свет ходить телефон ночью номер убирать туалет плюс хороший раз день борд каяк бесплатно игровой комната вечером кино дружелюбный атмосфера', 'очень хотеть поделиться свой впечатление уникальный место друг отмечать август свадьба море добраться остров сразу понять реальность раз превысить ожидание хотя подписать инстаграм аккаунт очень долго влюбить правда оказываться попадать состояние эйфория верить происходить ты провести волшебный который вспоминать огромный теплота любовь очень рада наш страна такой прекрасный мочь уединиться суета соединиться природа окружение близкий человек хотеть выразить огромный благодарность персонал который помогать провести ярко очень']",5,0,5,5
9,Гуляй-Город,"['приехать сегодня дорога музей серпухов доброжелательный хорошо поужинать заселение понять номер рядом лестница запах ресторан проходящие/пробегать житель слышный очень слышимость хороший стена попросить сосед тихий разговаривать получиться пытаться заснуть берухо очень помогать открыть окно проветрить пока сосед курить балкон номер выбрать номер конец коридор хорошо сайт план номер завтра блошка поленово осваиваться территория', 'свадьба подарить сертификат cuva который решить реализовать « гуляй-город » сначала локация весьма живописный первый очередь счёт вид достаточно мелко вода должный быстро пригреваться малышня раздор езда велик -затопить песчаный карьер неплохой вид рядом леска чистый светлый ягодный территория приехать двадцать минута ранний попросить подождать двадцать минута администратор впервые увидеть ладный списать переутомление жара заселились-капсула » сам капсула крутой огромный панорамный окно река домик стоить деревянный помост рядом шезлонг свой столик внутри очень классно необходимый кондей чайный набор столовая', 'плюс очень доброжелательный чистый номер хороший кухня приятный природный объект пеший доступность небольшой минус капсула очень дешёвый матрас каждый пружина посчитать тело прийтись подкладывать одеяло уснуть территория пока находиться состояние полу-забросить наверное успеть подготовиться сезон сильный разлив река весна утром время завтрак довольно громко включать музыка веранда', 'дорога гуляй-город целый взахлёб рассказывать ты весь друг знакомый думать отзыв трипэдвайзер полезный спасти пандемийной лето 2020год действительно отдохнуть важно великолепно вкусный кухня удобный уютный номер двойной розовый жить два ребёнок один комната сложно потрясать природа тёплый речка ребёнок постоянно зависать купание/батут выдохнуть гулять каждый день поле любоваться разнотравье великолепный закат баня-доска огромный плюс красивый интерьер отель завтрак открытый терасс каждый утро приятный ритуал спасибо скучать', 'очень довольный двухдневный поездка гуляй-город останавливались-капсула орбита комфортно доброжелательно поначалу немного свежий домик прогреться капсула печка-камин очень уютный сам гостиница очень вежливый ресторан вкусный еда кроме комплекс баня небольшой двое удобный']",5,0,5,5
8,Глэмпинг Под небом,"['отличный условие проживание очень отзывчивый позитивный уходить территория невероятно вкусный условие активный отдых остаться очень довольный обязательно приехать спасибо', 'написать уточнить деталь прочитать забыть голова уклыдываться .. человек просить человек сутки месячный зарплата продавец сергиев посад элементарно мочь ответить сообщение вообще туда ехать', 'великолепный отдых соединение природа чувствоваться душа владелец весь комфорт палатка кухня обстановка пляж дружелюбный внимательный сделать отлично отдыхать ребёнок годик маша остаться восторг водный развлечение сап байдарка вэйк мечта полюбить написать слово песня гребенщиков поесть .. вспоминать хорошо « pod_nebom голубой glamping вода счастие спокойствие окутать быть взор представать величие страна лес озёры невиданный краса « рекомендовать очень ребята хороший вид отдых', 'здравствуйте столкнуться хамский странный поведение место выбирать weekend хотеть уточнить деталь сказать смотреть сайт прийтись выдавливать информация цена космос реально деньга взять потолок ладный сайт один цена переписка называть другой слушайте далёкий закрыть глаз хотеть забронировать говорить бронь перевести сумма минуточка такой смысл оплатить въезд минимум нормальный место бронировать оплата глэмпинг база отдых отель предложить оплатить стоимость мой мнение достаточно адекватный предоплата гарантировать свой приезд говорить платить', 'суперский дизайн палатка вкусный кухня водный активность пляж провести романтический выходной ужин пирс вид закат активно позанимиться спорт вейк катер общий круто весь советовать']",3,2,5,5
7,Велна Эко Спа Резорт,"['сравнивать поэтому посетить загородный-отель « welna resort » мочь совершенно точно сказать хороший загородный отель наш страна даром входить отель россия расположение архитектура инфраструктура программа развлечение обучать мастер-класс высокий профессиональный уровень отметить « welna resort » успешно справляться новация сфера отечественный инвестиция совершенно правильно говориться человек решать высококвалифицированный персонал достойный работа отель невозможный выражать огромный благодарность такт профессиональный мастерство просто человеческий отношение гость свой работа целое весь коллектив загородный', 'плюс очень понравиться номер шикарный территория погулять красивый очень вкусный ужин сеновал лофт минус шведский стол который испортить впечатление первый невкусно второй произойти очень неприятный ситуация вегетарианец взять завтрак', 'поездка велна оставить яркий впечатление сюда хотеться вернуться заранее заказала-процедура обещать хороший мастер обещание сдержать очень рада попасть массажист юрий онищенко терпеливо ответить вопрос процедура рассказать средство уход который использоваться главное помочь подобрать нужно юрий показать пример мой тело массаж влиять весь организм целое физический уровень ощущение лёгкость бодрость здоровье позитив сеанс приятно удивить уйти застарелый боль колено долгий время смочь нормально заснуть', 'очень приятный тропинка нагуляться вдоль ручеёк тропинка подсыпать щепа поэтому сырой погода приятно гулять сходить хам поплавать бассейн питание очень понравиться вкусно весь семья ресторан приятный красивый вид каша суп-пюре ребёнок жаловаться знать есть обычно такой реально действительно вкусно время пополняться хватать весь очень дружелюбный детский игровой отдельный помещение проходить мастер класс просто играть ребёнок подрасти играть ребята родитель балдеть массаж общий отдохнуть довольный', 'неплохой весь семья возможно приезжать готовый сезон территория интересный апрель уходить корпус прикольный устать кухня ресторан хороший обед входящий пансион удобный столпотворение вход неудобно раздеваться ребёнок тесно спацентр тесно выходной']",4,1,5,5
6,Urman Camp Глэмпинг,"['приехать глэмпинг попросить заранее затопить итог купель готовый собираться спать приходить собака мешать спать дальнейший ходить мужчина работник мешать побыть один приехать лишенка спокойствие оставить вещь попросить вернуть итог тишина отдых расслабление картинка хотеть пофоткаться точно', 'отдохнуть тело душа замечательный место домик продумать мелочь себя действительно брать хороший настроение купальник выражать восхищение жанна который встречать улыбка доброжелательность долго быть греть напоминать отдых весь персонал спасибо тёплый гостеприимство отзывчивость однозначно звезда быть весь рекомендовать отметить домик чисто уютный главное тепло помимо чан накататься горка санки сходить настоящий лесной родник вода', 'очень классно отдохнуть глэмпинг хотеть весь наш компания сказать отдельный спасибо управлять жанна благодаря ваш улыбка гостеприимство отдых просто супер сразу видно профессионал просьба моментальный помощь подсказка весь рекомендовать очень уютный тепло -вообще выше всякий похвала продумать мелочь приехать', 'общий мочь сказать отбросить минус стоить наверное крайний мера пока хотеться привлечь терраса очень понравиться лежать практически весь вечер домик уютный печка сам дом вообще огонь минус именно дорога сам глэмпинг деревня узенький дорога машина встретиться разъехаться собственно таки день выезд подъехать деревня близкий мужчина поехать встреча видеть узкий дорога рассчитывать непонятно итог застрять прийтись помогать выезжать уголь сырой прийтись долго разжигать мангал грязный похоже никто убирать веер вообще валяться', 'urman camp выходной начинаться мороз городской суета прекрасный место придумать вдали город совершенный звенящий тишина морозный воздух красота вокруг гостеприимство жанна выше всякий похвала легко-добрый больший уважение терпение прекрасный обстановка чистота красота очень чувствоваться трепетный отношение жанна ребята сам место открытый отзывчивый просто суперррр понравиться безумно обязательно быть приезжать увидеть табун лошадь просто обомлеть радость весь говорить делать человек сохранить свой человек точно расцвести']",4,1,5,5
25,Глемпинг Старый Сивух,['выходной пролететь маленький жизнь насыщенный запомниться надолго комфортабельный глэмп-номер электронный ключ чистота аутентичность жизнь гора пересекать последний тенденция туризм обязательно вернуться спасибо сказка'],1,0,1,5
4,ЛЕС Глэмпинг и спа,"['решить посетить чудесный забронировать значит ночь внести предоплата первый сутки заселение показать наш бунгало номер стенка который площадка гладиаторкий бой час вход общий зона костёр вечер петь песня также прям наш вход ресторан житель чудесный место долгий переговоры отказаться предоставить уединённый ладный думать решить сходить ресторан который жена прополоскать пронести советовать хотеть посетить настоятельно бронирование уточнять расположение шалаш шалаш туалет который запах спальня думать система везде такой рекомендовать холить ресторан ваш второй половина', 'кемпинг подойти исключительно семья ребёнок предлагать отдых другой категория гость пара одинокий гость надежда тишина комфорт найти предупредить хотеть фото сайт соответствовать тот поселить несколько домик терраса хотя бронировать люкс плюс сайт фото этот номер видный терраса кресло факт выйти домик открыть прозрачный плёнка занавеска прозрачный сразу пропадать дорожка дорожка ходить гость ресторан самый громкий проходимый часть кемпинг возить тачка бельё домик видимо ночь заплатить расположение', 'выбрать глэмпинг отметить планировать провести день тезисный отличный локация тихий вдали туристический суета природа кролик петь птичка комфортный палатка оборудовать весь мыслимый удобство тёплый простыня подогрев умный унитаз место перебор ресторан который вкусно кормить приятный обслуживание респект весь персонал территория администратор техник действительно пытаться решать проблема весь доступный способ вплоть комплиментарный испанский брют фруктовый тарелка прекрасный банный комплекс открытый бассейн джакузи открытый небо несколько вид баня массаж йог входить стоимость проживание', 'разочаровать красивый картина сказочный лес испортить достаться удачный домик-палатка очень маленький цена получить скрипучий торчать шуруп двухкомнатный апартамент постоянный ароматизация канализация ранний регулярный звук проезжать тележек.персонал всыпаться свежий воздух удаться чувство уединение ощутить соответственно впечатление остаться наихудшим- массаж … маленький цена', 'очень необычный весь советовать побывать отдельно хотеть отменить работа персонал сервис высокий уровень каждый сотрудник относиться каждый гость радушие гостеприимство обязательно вернуться волшебный']",3,2,5,5
3,Глэмпинг Vezzika,"['плюс хороший красивый местоположение минус информация сайт соответсвовать действительность пример сайт бронировать баня подтверждение бронирование чётко прописать час факт место оказываться оплатить малый время нужно доплачивать ездить июнь огромный количество слепень спокойно позагорать посидеть улица невозможно понимать природа малый информация огромный минус палатка убрать возможно связать сотрудница глэмпинг основный занятие скорый курение кальян питьевой вода грязный народ совать туда попасть рука установить хотя помпа платный вода канал написать комментарий ниже купить', 'очень слепень невозможно просто сесть расслабиться почему никто нигде писать говорить хотя предупреждать телефон сказать парковка/ сутки факт сайт покупать лодка баня какой услуга воспользоваться например слепень вернуть вода питьевой общий очень грязный лазить бочка попасть завтрак невкусный очень очень скудный стоить свой деньга простой приехать отдыхать самостоятельно палатка один название время сидеть курить кальян никто особо решать никакой вопрос', 'прекрасный перезагрузка отдых ваш путешествие начинаться катер который везти ново-свирский канал лагерь кемпинг расположить ладожский озеро канал песчаный кос необходимый кухня посуда газ мангал прекрасный походный баня берег канал горячий вода', 'прекрасный удивительный закат чистый пляж чистый шатёр территория иметься баня проведение отдых выходной отметить день рождение друг прекрасно подходить добираться авто берег забрать катер']",4,0,4,5
27,Eko-camping SFERA,"['назад волшебный ощущение побывать настоящий сказка заснеженный озеро природа потрясать жить необычный домик геосфера чисто опрятно тепло топить печь дрова сравниться камин квартира брать себя продукт приготовить мангал оказаться кафе покушать принцип необходимый отдых предоставить принадлежность мангал посуда горячий вода термос насладиться чаемый самовар такой попробовать вечерний прогулка лыжа стать настоящий приключение красиво волшебно среди удобство дом биотуалет впервые такой пользоваться доступно объяснить горячий вода главный корпус принцип знать', 'спойлер крайне отвратительный ужасный сервис который испортить отдых наслаждение природа заселение экошалаш холодно улица оказываться помнить заезд просто забыть включить обогреватель номер итог комфортный температура градус прийтись ждать час кстати туалет холодный улица обогреваться либо терпеть либо снимать кальсоны минусовый температура пока греться шалаш купить дрова пожарить шашлык дрова оказаться настолько сырой некоторый полено вода капать хорошо купить средство розжиг помощь который смочь хотя поджечь некоторый менее', 'сам идея вообще огонь говорить сфера явно увидеть стоить свой деньга приехать достаточно поздно подпортить впечатление парковка таковой машина приходиться кидать вдоль дорога охват камера понятный работать освещение очень скудный связь ждать плохо осветить дорога администрация большинство информация вытягивать клещ сказать идти навстречу дорожка сам сфера сделать скорый рука многое касаемо сфера внешний намного внутри грязный штора поносить матрас биотуалет пережить видать многое трещина развод стекло окно минимальный хотя смотреть некуда выходить просто тропинка который', 'заселение проводить геокупол вопрос отвечать неохотно территория рассказать вовсе номер вкратце биотуалет который предыдущий гость убрать сразу сказать номер предназначить отдых ребёнок животное судить первый срок памятка отель лежать номер владелец отель рекомендовать спокойно принимать неудобство который быть возникать возникать быть выключатель закрепить розетка болтаться провод наружу вводный электрический автомат номер расположить внизу корпус закрываться надёжно проводка малое сечение автомат малый использование большой количество розетка часть нужный холодильник телевизор например просто', 'кемпинг sfera купол плюс красивый природа волейбольный поле песок кошка бесплатный настолочь свой еда греть административка микроволновка минус машина въезд запретить машина прийтись оставить дорога далеко кемпинг заход вода весь тина около пирс плавать сломать лодка предоставлять маленький один равно весло цена услуга сайт факт различаться уголь готовка платный сырой разжигать уголь минута близкий ночь весь кемпинг выключиться электричество страшно камин хватать час ночью прийтись встать топить дрова мокрый разжигать минута газовый баллон душевая туалет неприятно пахнуть неимоверный вонь идти вода']",4,1,5,5
20,Polyana Glamping,"['потрясать локация идеальный провести время калининград приезжать второй впервые год глэмпинг территория заповедник весь вытекать преимущество живность прекрасный природа море думаться маленький ребёнок очень комфортно усмотрение родитель очень удобный кровать шатёр уступать уровень хороший отель цена приятный особенно подмосковный глэмпинг очень здорово вкусно поесть кос нормальный кафе полный комфорт повезти погода отдых удаться спасибо сотрудник глэмпинг организация прекрасный отдых', 'сам чудесный лоно природа рядом балтийский море широкий безлюдный пляж писать многие заслуга создатель называть', 'отдыхать жена красивый место ночью петь птица очень романтично необыкновенно первый отдыхать подобный формат писать многие дороговатый это согласиться полностью который подавать вообще никакой завтрак подавать очень долго холодное вечером заказать рыба пресный кислый рыба сухой один слово невкусно долго вежливый весь парень усик девушка бар остальной натягивать улыбка видно рада девушка глаз рыба весь поведение показывать достать красивый природа завораживать костёр ночью приятный']",2,1,3,5
15,Шикша,"['прекрасный место отдых душа тело бескрайний водный простор вокруг остров прозрачный глубокий озеро сам остров влажный богатый ягода гриб лес уесть вдали человек тёплый удобный палатка большой двуспальный кровать больший сытный завтрак вкусный ужин окружить любовь забота александр татьяна', 'шикарный отдых шикарный шалаш третий ездить слеза хотеться уезжать ребята невероятный молодец очень гостеприимно палатка-тент деревянный подмостки полметра простыня подогрев лампа центр палатка греть градус душевая туалет дерево нормальноить канализацией подогрев евента тент завтрак ужин кинотеатр солярий гриб вообще молчать приезжать пожалеть', 'обалденный потрясать природа очень чисто очень дружелюбно очень вкусно палатка тёплый аккуратный чистый вкусный завтрак ужин обед кафе домашний еда близко мммм булочка черника развлечение потрясать озеро сап рыбалка настольный теннис общение костёр вечер группа выступать вечером детей- батут игра беготня другой ребёнок ездить втроём-летний ребёнок восторг ощущение хороший домашний гостиница единение природа казаться короткий отдых учитывать дорога день самый', 'чудесный душевный озеро селигер остров хачин комфортный палатка обогреватель электричество вкусный разнообразный завтрак ужин лодка велосипед свободный пользование']",2,2,4,3
23,Глэмпинг Северный Крым,"['реклама ... ... довестись проезд сутки база провести управлять турбаза карелия ..... минус замоший .... плюс -разнести заезд\\выезд любой турбаза разный домик -главный плюс новый ... домик инвентарь дерево посадить -организовать парковка авто гость -отдых семья ребёнок ферма', 'последний день пребывание перестать работать кафе причина объяснить завтрак который указать сайт']",0,2,2,1
10,Глэмпинг Китовый Берег,['мочь предположить получить столько новый эмоция встретить столько интересный человек край земли… ехать путешествие посоветовать друг август остаться полный восторг прямой самолёт пермь-мурманск оставить доля сомнение лететь отель мурманск забрать максим достаточно комфортный land cruiser дорога база длиться час заметить максим занять наш внимание история место останавливаться выходить авто посозерцать вид посмотреть памятник заехать долина слава база тепло встретить милый девушка елена напоить чаемый трава заселить комфортный глэмпинг отправить баня кстати баня полюбиться ходить каждый день дубовый'],0,1,1,1
5,Глэмпинг NewCamp,['глэмпинг находиться близ посёлок эссойло сосновый лес представлять себя деревянный домиков-стиль отдаление друг друг шатёр проведение утренний зарядка баня строиться столовая каждый домик небольшой терраса зона отдых барбекю домик необходимый посуда полотенце плед запрос предоставляться утюг завтрак приносить домик оговорить время скудный надеяться построение столовая недостаток компенсировать главный плюс глэмпинга- потрясать природа вокруг панорамный окно свой парковка открыться июнь год поэтому думать ребята процесс усовершенствование находиться'],0,1,1,1
2,Глэмпинг Видно Озеро,"['забронировать проживание глэмпинг', 'случайно оказаться глэмпинг']",0,2,2,1
14,Халактырский пляж,[''],0,0,0,0
26,Долина мечтателей,[''],0,0,0,0
28,СПА ЛЕС глэмпинг,[''],0,0,0,0
29,Глэмпинг Под Небом,[''],0,0,0,0
