,places,collected_reviews
0,"Глэмпинг Доброе,","['плюс красивый заповедный зона просыпаться вид море засыпать шум волна пожалуй самый необычный наш отпуск вроде жить палатка минимальный набор необходимый комфортный пребывание идеальный вариант мечтать сходить поход палатка перспектива ходить туалет яма ёлка точно d. расслаблять помогать отдохнуть городской суета ярко минус готовый глэмпинг тяжело добраться неподготовленный человек добраться способ пешком моторный лодка лодка стоить поездка конец глэмпинг причал деревянный помост поэтому лодка прийтись прыгать вода забираться лодка вода', 'ездить глэмпинг добрый компания конец апрель поскольку апрель действительно выдаться холодный делать больший скидка откинуть наш погодный невезение сильно разочаровать соотношение', 'плюс красивый заповедный зона потрясать закат вкусный мидия блинчик завтрак приятный вежливый молодой человек который собственно приносить завтрак минус везде грязненький бросаться глаз жутко неудобный скрипучий кровать который спина болеть неделя душа намёк хотя еле тёплый вода просто тонкий струйка холодный вода -кинотеатр открытый работать целое хорошо провести время нюанс заселение пройти гладко отказать просьба заселить высокий шатёр свободный момент наш приезд анастасия сказать забронировать завтрашний день уточнить забронировать например приехать следующий ответить', 'красиво дикий природа идеальный комфорт артур готовить вкусный мидия номер иметься необходимый вполне удобно маленький ребёнок потрясать вид понравиться обязательно приехать снова', 'отлично газ делать электро печь поставить экономичный балон газ чай кофема хватать пара день готовить семья общий кухня очередь стоять .... замечательный уединённый отдых']"
1,"Глэмпинг на озере Сиг,","['отдыхать ребёнок повезти погода сосед ребёнок скучать старший кататься саба младший соседский ребёнок кошка который сходить баня покататься большой сходить гриб покататься ложка отдохнуть городской суета насмотреться закат кормить вкусно младший оценить', 'отдыхать жена начало август впечатление неоднозначный плюс минус сожаление минус писать исходить свой опыт ребёнок отдыхать россия европа глэмпинг впервые прелесть отдых природа бояться плюс жить 6ой палатка палатка продумать необходимый кроме соль сахар весь мебель хороший состояние привет икеа маленький холодильник посуда умывальник диван кровать простыня подогрев захотеть вентилятор газовый плитка общий время поймать мысль номер что-то хватать туалет/душа отдельный помещение относительно близко палатка каждый палатка свой кабинка/комнатка запираться ключ внутри аккуратно', 'необычно оригинально придумать прям берег озеро свой подход вода рядом палатка мангал дрова свет улица столик стул палатка необходимый уютный кровать удобный диван куча всякий подушечка интеграция природа комфорт', 'муж глэмпинг август 2019г проехать 950км наш мечта впервые глэмпинг столкнуться июль утриша незабываемый день блаженство решить обязательно посетить глэмпинг озеро утро август позвонить администратор григорий уточнить время наш прибытие тк ехать далёкий планировать приехать ранний час начинать час вечер григорий время держать связь заблудиться естественно несмотря приехать одиннадцатый час вечер григорий встретить рассказать показать расположить отдых принести положительный эмоция сей пора вспоминать день единение природа палатка необходимый жизнь плитка газовый баллон', 'сильно повезти бронь сайт сотрудница найти свободный сафари-тент трое изначально фото который прислать пометка жить домик необходимый приезд поселить сафари-тент терраса стол одиноко стоять стул хотя тент трое приехать втроём повторный просьба молодой человек принести всё-таки стол третий стул найтись номер грязно природа доп плата газовый баллон плита уголь тд вечером стать ужасно холодно второй обогреватель предоставить предлог выдержать электросеть правда фонарик тускнеть каждый включать что-то розетка простой говорить']"
2,"Глэмпинг Видно Озеро,","['забронировать проживание глэмпинг', 'случайно оказаться глэмпинг']"
3,"Глэмпинг Vezzika,","['плюс хороший красивый местоположение минус информация сайт соответсвовать действительность пример сайт бронировать баня подтверждение бронирование чётко прописать час факт оказываться оплатить малый время нужно доплачивать ездить июнь огромный количество слепень спокойно позагорать посидеть улица невозможно понимать природа малый информация огромный минус палатка убрать аба возможно связать сотрудница глэмпинг основный занятие скорый курение кальян питьевой вода грязный народ совать туда попасть рука установить хотя помпа душа платный вода канал написать комментарий ниже купить', 'слепень невозможно просто сесть расслабиться почему никто нигде писать говорить хотя предупреждать телефон сказать парковка руб/ сутки факт 300. сайт покупать лодка баня доп услуга воспользоваться например слепень вернуть вода питьевой общий грязный лазить бочка попасть завтрак невкусный скудный стоить свой деньга простой приехать отдыхать самостоятельно палатка душа название персонал время сидеть курить кальян никто особо решать никакой вопрос', 'прекрасный перезагрузка отдых ваш путешествие начинаться катер который везти ново-свирский канал лагерь кемпинг расположить ладожский озеро канал песчаный коса необходимый кухня посуда газ мангал прекрасный походный баня берег канал душа горячий вода', 'прекрасный удивительный закат чистый пляж чистый шатёр территория иметься баня проведение отдых выходной отметить день рождение друг прекрасно подходить добираться авто берег забрать катер']"
4,"ЛЕС Глэмпинг и спа,","['решить посетить чудесный забронировать значит ночь внести предоплата первый сутки заселение показать наш бунгало номер стенка который площадка гладиаторкий бой час вход общий зона костёр вечер петь песня также прям наш вход ресторан житель чудесный долгий переговоры отказаться предоставить уединённый ладный думать решить сходить ресторан который жена прополоскать пронести советовать хотеть посетить настоятельно бронирование уточнять расположение шалаш наш шалаш туалет который запах спальня думать система везде рекомендовать холить ресторан ваш второй половина', 'кемпинг подойти исключительно семья ребёнок предлагать отдых категория гость пара одинокий гость надежда тишина комфорт найти предупредить хотеть фото сайт соответствовать поселить несколько домик терраса хотя бронировать люкс плюс сайт фото номер видный терраса кресло факт выйти домик открыть прозрачный плёнка занавеска прозрачный сразу пропадать дорожка дорожка ходить гость ресторан самый громкий проходимый часть кемпинг персонал возить тачка бельё домик видимо ещё ночь заплатить расположение', 'выбрать глэмпинг лес отметить др планировать провести день тезисный 1. отличный локация тихий вдали туристический суета природа кролик петь птичка 2. комфортный палатка оборудовать весь мыслимый удобство тёплый пол простыня подогрев умный унитаз т.е перебор 3. ресторан который zayka_les вкусно кормить приятный обслуживание 4. респект весь персонал территория администратор техника действительно пытаться решать проблема весь доступный способ вплоть комплиментарный испанский броть фруктовый тарелка 5. прекрасный банный комплекс открытый бассейн джакузи открытый небо несколько вид баня массаж йог входить стоимость проживание', 'разочаровать красивый картина сказочный лес испортить достаться удачный домик-палатка маленький цена получить скрипучий пол торчать шуруп двухкомнатный апартамент постоянный ароматизация канализация ранний регулярный звук проезжать тележка хоз.персонал всыпаться свежий воздух удаться чувство уединение ощутить соответственно впечатление остаться плохой спа- массаж … маленький цена', 'необычный весь советовать побывать отдельно хотеть отменить работа персонал сервис высокий уровень каждый сотрудник относиться каждый гость радушие гостеприимство обязательно вернуться волшебный']"
5,"Глэмпинг NewCamp,",['глэмпинг находиться близ посёлок эссойло сосновый лес представлять деревянный домик эко-стиль отдаление друг друг шатёр проведение утренний зарядка баня строиться столовая каждый домик небольшой терраса зона отдых барбекю домик необходимый посуда полотенце плед запрос предоставляться фен утюг завтрак приносить домик оговорить время скудный надеяться построение столовая недостаток компенсировать главный плюс глэмпинга- потрясать природа вокруг панорамный окно свой парковка открыться июнь год поэтому думать ещё ребята процесс усовершенствование находиться']
6,"Urman Camp Глэмпинг,","['приехать глэмпинг попросить заранее затопить итог купель готовый собираться спать приходить собака мешать спать дальнейший ходить мужчина работник мешать побыть приехать лишенка спокойствие оставить вещь попросить вернуть итог тишина отдых расслабление картинка хотеть пофоткаться точно', 'отдохнуть тело душа замечательный домик продумать мелочь действительно брать хороший настроение купальник выражать восхищение жанна который встречать улыбка доброжелательность долго греть напоминать отдых весь персонал спасибо тёплый гостеприимство отзывчивость однозначно звезда весь рекомендовать p.s отметить домик чисто уютный главное тепло помимо чан накататься горка санки сходить настоящий лесной родник вода', 'классно отдохнуть глэмпинг хотеть весь наш компания сказать отдельный спасибо управлять жанна благодаря ваш улыбка гостеприимство наш отдых просто супер сразу видно профессионал просьба моментальный помощь подсказка весь рекомендовать уютный тепло чан -вообще выше всякий похвала продумать мелочь приехать', 'общий мочь сказать отбросить минус оно стоить наверное крайний мера пока хотеться привлечь терраса чан понравиться лежать немой практически весь вечер домик уютный печка дом вообще огонь минус именно дорога глэмпинг деревня узенький дорога машина встретиться разъехаться собственно таки день выезд подъехать деревня близкий какой-то мужчина поехать встреча видеть узкий дорога рассчитывать непонятно итог застрять прийтись помогать выезжать уголь сырой прийтись долго разжигать мангал грязный похоже никто убирать веер вообще валяться', 'urman camp выходной начинаться мороз городской суета прекрасный придумать вдали город совершенный звенящий тишина морозный воздух красота вокруг гостеприимство жанна выше всякий похвала легко по-доброму больший уважение терпение прекрасный обстановка чистота красота чувствоваться трепетный отношение жанна ребята открытый отзывчивый персонал просто суперррр понравиться безумно обязательно приезжать p.s увидеть табун лошадь просто обомлеть радость p.s.s весь говорить делать человек сохранить свой человек точно расцвести']"
7,"Велна Эко Спа Резорт,","['сравнивать поэтому посетить загородный спа-отель « welna eco spa resort » мочь совершенно точно сказать хороший загородный отель наш страна даром входить топ-5 отель россия расположение архитектура инфраструктура программа развлечение обучать мастер-класс – высокий профессиональный уровень отметить « welna eco spa resort » успешно справляться новация сфера отечественный инвестиция совершенно правильно говориться человек решать высококвалифицированный персонал достойный работа отель невозможный выражать огромный благодарность такт профессиональный мастерство просто человеческий отношение гость свой работа целое весь коллектив загородный спа', 'плюс понравиться номер шикарный территория погулять красивый лес вкусный ужин сеновал лофт минус шведский стол который испортить впечатление первый невкусно второй произойти неприятный ситуация вегетарианец взять завтрак киш', 'поездка велна оставить яркий впечатление сюда хотеться вернуться заранее заказать спа-процедура обещать хороший мастер обещание сдержать рада попасть массажист юрий онищенко терпеливо ответить вопрос процедура рассказать средство уход который использоваться главное помочь подобрать нужно юрий показать пример тело массаж влиять весь организм целое физический уровень ощущение лёгкость бодрость здоровье позитив сеанс приятно удивить уйти застарелый боль колено наконец-то долгий время смочь нормально заснуть', 'приятный тропинка нагуляться вдоль ручеёк тропинка подсыпать щепа поэтому сырой погода приятно гулять сходить хам спа поплавать бассейн питание понравиться вкусно весь семья ресторан приятный красивый вид каша суп-пюре ребёнок жаловаться еда знать обычно реально всё действительно вкусно еда время пополняться хватать весь персонал дружелюбный детский игровой отдельный помещение проходить мастер класс просто играть ребёнок подрастить играть ребята родитель балдеть массаж спа общий отдохнуть довольный', 'неплохой весь семья возможно приезжать готовый сезон территория интересный апрель уходить корпус прикольный устать кухня ресторан хороший обед входящий пансион удобный столпотворение вход неудобно раздеваться ребёнок тесно спацентр тесно выходной']"
8,"Глэмпинг Под небом,","['отличный условие проживание отзывчивый позитивный персонал уходить территория невероятно вкусный еда условие активный отдых остаться довольный обязательно приехать ещё спасибо', 'написать уточнить деталь прочитать забыть голова уклыдываться .. человек просить человек сутки месячный зарплата продавец сергиев посад элементарно мочь ответить сообщение вообще туда ехать', 'великолепный отдых соединение природа чувствоваться душа владелец весь комфорт палатка кухня обстановка пляж персонал дружелюбный внимательный сделать отлично отдыхать ребёнок годик маша остаться восторг водный развлечение сап байдарка вэйк мечта полюбить муж написать слово песня гребенщик .. поесть .. вспоминать хорошо « pod_nebom голубой glamping вода счастие спокойствие окутать взор представать величие страна лес озёры невиданный краса « рекомендовать ребята хороший вид отдых', 'здравствуйте столкнуться хамский странный поведение выбирать weekend хотеть уточнить деталь сказать смотреть сайт прийтись выдавливать информация цена космос реально деньга взять потолок ладный сайт цена переписка называть слушайте далёкий закрыть глаз хотеть забронировать говорить бронь перевести сумма минуточка р смысл оплатить въезд минимум нормальный бронировать оплата глэмпинг база отдых отель д. предложить оплатить стоимость мнение достаточно адекватный предоплата её гарантировать свой приезд говорить платить', 'суперский дизайн палатка вкусный кухня водный активность пляж лес провести романтический выходной ужин пирс вид закат активно позанимиться спорт вейк катер общий круто весь советовать']"
9,"Гуляй-Город,","['приехать сегодня дорога музей серпухов доброжелательный персонал хорошо поужинать заселение понять наш номер рядом лестница запах ресторан проходящие/пробегать житель всё слышный слышимость хороший стена попросить сосед 23.00 тихий разговаривать получиться пытаться заснуть берухо помогать открыть окно проветрить пора пока сосед курить балкон номер выбрать номер конец коридор хорошо сайт план номер завтра блошка поленово осваиваться территория', 'свадьба подарить сертификат cuva который решить реализовать « гуляй-город » сначала локация весьма живописный первый очередь счёт вид око достаточно мелко вода должный быстро пригреваться малышня раздор мина езда большой -затопить песчаный карьер неплохой вид рядом леска чистый светлый ягодный территория приехать двадцать минута ранний попросить подождать двадцать минута администратор впервые увидеть ладный списать переутомление жара заселиться « эко-капсула » капсула крутой огромный панорамный окно река домик стоить деревянный помост рядом шезлонг свой столик внутри классно необходимый душа кондей чайный набор столовая', 'плюс доброжелательный персонал чистый номер хороший кухня приятный природный объект пеший доступность небольшой минус капсула дешёвый матрас каждый пружина посчитать тело прийтись подкладывать одеяло уснуть территория пока находиться состояние полу-забросить наверное успеть подготовиться сезон из-за сильный разлить река весна утром время завтрак довольно громко включать музыка веранда', 'дорога гуляй-город целый год взахлёб рассказывать весь друг знакомый думать отзыв трипэдвайзер полезный спасти пандемийной лето 2020год действительно отдохнуть важно великолепно вкусный кухня удобный уютный номер двойной розовый жить ребёнок комната сложно потрясать природа тёплый речка ребёнок постоянно зависать купание/батут выдохнуть гулять каждый день поле любоваться разнотравье великолепный закат баня сап-доска огромный плюс красивый интерьер отель завтрак открытый терасс каждый утро приятный ритуал спасибо скучать', 'довольный двухдневный поездка гуляй-город останавливаться эко-капсула орбита комфортно доброжелательно поначалу немного свежий домик прогреться ещё капсула печка-камин уютный персонал гостиница вежливый ресторан вкусный еда кроме комплекс баня небольшой двое удобный']"
10,"Глэмпинг Китовый Берег,",['мочь предположить получить столько новый эмоция встретить столько интересный человек край земли… ехать путешествие посоветовать друг август остаться полный восторг прямой самолёт пермь-мурманск оставить доля сомнение лететь отель мурманск забрать гид максим достаточно комфортный land cruiser дорога база длиться час заметить максим занять наш внимание история останавливаться выходить авто посозерцать вид посмотреть памятник заехать долина слава база тепло встретить милый девушка елена напоить чаемый трава заселить комфортный глэмпинг отправить баня кстати баня полюбиться ходить каждый день дубовый']
11,"Zelenaya Tropa,","['итак платить рубль ночь еда доплачивать килограммовый собака получать 1. домик который кишеть муравей буквальный смысл повсюду кровать кухня стакан который нужно поставить холодильник хотеть оставить муравей стена чистый чайник ванной…везда .. спать просто чувствовать шевелиться вокруг 2. пол ванная который стоить вода просто хлюпать выливаться щель наступить постоянно мокрый нога носка полотенце заезд включить электрический тёплый пол…видимо гость ещё коротнуть клещ который снять свой обработать собаки…предупреждать впервые минус', 'явно точно понимать соответствие цена качество опытный путешественник число формат глэмпинг впервые столкнуться большой дифференциация цена достаться дача дача самый некачественный недоделать старый совершенно соответствовать изначально фото видно организация глэмпинг заниматься женщина гель душа ушной палочка подушка стразик продумать достроить менять бельё домик завести зубной щётка тапка тропинка домик убрать строительный материал какашка деревянный тропинка додуматься ночь дача обойтись тысяча отдельный доплата завтрак внимание цена пятизвёздочный отель центр москва ночь завтрак', 'отличный глэмпинг множество вариант размещение выбрать домик дерево удобство кухня терраса отличный вид домик хорошо обустроить оснастить необходимый минимум хороший техника косметика домик гель душа кондиционер какой-то авторский разработка эфирный масло прочий полезность понравиться мятный мыло рука почему-то оно общий рукомойник общий приём пища вечерний посиделки костёр хорошо продумать питание понравиться домашний кухня продукт местный ферма разный настольный игра ребёнок взрослый важный момент глэмпинг dog friendly встретить многий любитель собака общий радость потомец рассматривать повторный посещение', 'добрый день лагер око ночёвка день привести наш компания восторг время мало погода дождливый коллектив занятие маткласс сделать свой дело окунуться природа мир математик ребёнок хотеть продолжать продолжать надеяться минимум неделя путешествие маткласс угодный спасибо профессионализм гибкий подход', 'завершать пребывание какой-нибудь отель стараться сформировать свой комплексный впечатление цель понять стоить сюда возвращаться мнение зелёный тропа сформировать основание несколько фактор номер малюсенький домик который сложно разойтись 2м человек внутренний эргономика совершенно непродуманный гель шампунь душа плохо спускать вода матрас подушка одеяло низкий качество который удобно спать окно дуть обогреватель дребезжать ночью мешать еда приём пища доступно несколько вид блюдо практически несъедобный продукт использоваться некачественный еда возможный ощущение тошнота ощущение съесть ведро щебень также хотеть отметить']"
12,"Мамонт Camp,","['потрясать единение комфорт уют невероятно вкусный еда авторский подача природа возможность проснуться шум река единый посторонний звук вид горный алтай команда организатор потрясти свой идея забота каждый наш просьба самый незначительный остаться внимание ребята запас начинать оборудование треккинг заканчивать ваш любимый вино ребята хороший обязательно вернуться', 'полный восторг программа человек отдых детство кормить заботиться твой комфорт ещё активность продумать идеальный нагрузка ехать отдыхать совершать туристический подвиг лагерь берег река просыпаться шатёр панорамный вид слышать природа каждый секунда запах туман река цвет чувствоваться весь природный самобытность сочетаться ресторанный сервис горячий вода 24/7 подогревать простыня баня кедровый купель однажды костёр видеть лисица ясный небо гарантировать заставить млечный путь хороший опыт знакомство алтай команда mamont camp жаль погрузиться глэмпинг год', 'волшебный продумать мелочь внимание деталь поражать комфортный стильный шатёр душа горячий вода потрясать кухня красивый жаркий баня самый главное команда администрация официант внимательный предать свой дело профессионал обязательно вернуться снова']"
